time,current_fail_per_sec,current_rps,response_time_percentile_0.5,response_time_percentile_0.95,total_avg_response_time,user_count
2024-11-08T23:59:41Z,0,0,0,0,0.0,100
2024-11-08T23:59:46Z,0,0,5100.0,5100.0,5125.33,600
2024-11-08T23:59:52Z,0,26.125,5100.0,10000.0,5863.1,1100
2024-11-08T23:59:57Z,0,70.4,5100.0,10000.0,5452.45,1600
2024-11-09T00:00:02Z,0,167.6,5100.0,5300.0,5293.14,2100
2024-11-09T00:00:07Z,0,236.6,5100.0,5300.0,5235.65,2600
2024-11-09T00:00:12Z,0,292.5,5200.0,5400.0,5220.09,3100
2024-11-09T00:00:17Z,0,369.7,5300.0,5600.0,5246.47,3500
2024-11-09T00:00:22Z,0,397.0,5500.0,6500.0,5356.03,4000
2024-11-09T00:00:27Z,0,370.9,7200.0,8100.0,5673.51,4500
2024-11-09T00:00:32Z,0,351.9,8800.0,9700.0,6089.75,5000
2024-11-09T00:00:38Z,0,398.6,9400.0,10000.0,6547.73,5500
2024-11-09T00:00:43Z,0,457.8,9600.0,11000.0,6901.19,6000
2024-11-09T00:00:48Z,0,442.6,10000.0,12000.0,7196.49,6500
2024-11-09T00:00:53Z,0,428.8,11000.0,13000.0,7609.43,6900
2024-11-09T00:00:58Z,0,373.4,13000.0,14000.0,8021.97,7400
2024-11-09T00:01:04Z,0,382.2,14000.0,15000.0,8438.39,7900
2024-11-09T00:01:09Z,0,460.7,15000.0,16000.0,8859.38,8300
2024-11-09T00:01:14Z,0,428.4,16000.0,17000.0,9265.12,8800
2024-11-09T00:01:19Z,0,432.5,16000.0,17000.0,9678.22,9300
2024-11-09T00:01:24Z,0,449.2,16000.0,18000.0,9967.99,9700
2024-11-09T00:01:29Z,0,415.7,18000.0,19000.0,10414.26,10100
2024-11-09T00:01:34Z,0,417.2,19000.0,21000.0,10713.11,10600
2024-11-09T00:01:39Z,0,363.3,21000.0,23000.0,11050.9,11000
2024-11-09T00:01:44Z,0,404.3,23000.0,25000.0,11605.19,11400
2024-11-09T00:01:49Z,0,415.3,24000.0,25000.0,11913.65,11900
2024-11-09T00:01:55Z,0,451.2,24000.0,26000.0,12409.34,12400
2024-11-09T00:02:00Z,0,396.1,26000.0,27000.0,12898.13,12900
2024-11-09T00:02:05Z,0,369.6,27000.0,29000.0,13478.07,13300
2024-11-09T00:02:10Z,0,402.9,27000.0,30000.0,13719.94,13700
2024-11-09T00:02:17Z,0,339.8,29000.0,31000.0,14154.07,14300
2024-11-09T00:02:22Z,0,465.0,31000.0,32000.0,14702.59,14800
2024-11-09T00:02:27Z,0,424.9,31000.0,33000.0,15189.9,15200
2024-11-09T00:02:33Z,0,368.6,33000.0,35000.0,15551.41,15800
2024-11-09T00:02:38Z,0,460.1,34000.0,35000.0,16143.61,16300
2024-11-09T00:02:43Z,0,333.1,35000.0,37000.0,16585.5,16700
2024-11-09T00:02:49Z,0,364.5,36000.0,37000.0,17002.47,17300
2024-11-09T00:02:54Z,0,475.6,37000.0,38000.0,17545.55,17800
2024-11-09T00:02:59Z,0,409.6,37000.0,40000.0,17932.59,18100
2024-11-09T00:03:04Z,0,428.9,39000.0,40000.0,18312.16,18600
2024-11-09T00:03:09Z,0,358.3,40000.0,43000.0,18770.45,19000
2024-11-09T00:03:14Z,0,384.1,42000.0,43000.0,19173.32,19500
2024-11-09T00:03:21Z,0,386.2,41000.0,44000.0,19241.34,19900
2024-11-09T00:03:26Z,0,151.0,46000.0,48000.0,20080.9,20400
2024-11-09T00:03:33Z,0,323.7,49000.0,52000.0,20330.06,20900
2024-11-09T00:03:38Z,0,155.1,50000.0,52000.0,21305.93,21400
2024-11-09T00:03:45Z,0,398.6,49000.0,53000.0,21386.73,21900
2024-11-09T00:03:50Z,0,207.8,53000.0,56000.0,22459.44,22400
2024-11-09T00:03:57Z,0,377.3,56000.0,56000.0,22722.16,22900
2024-11-09T00:04:02Z,0,170.1,57000.0,58000.0,23651.0,23400
2024-11-09T00:04:07Z,0,399.4,57000.0,59000.0,24084.99,23900
2024-11-09T00:04:12Z,0,229.5,59000.0,60000.0,24955.81,24200
2024-11-09T00:04:17Z,0,437.5,59000.0,62000.0,25103.37,24700
2024-11-09T00:04:23Z,0,375.1,59000.0,62000.0,25406.61,25200
2024-11-09T00:04:28Z,0,222.2,60000.0,62000.0,26189.77,25700
2024-11-09T00:04:33Z,0,347.6,60000.0,63000.0,26586.01,26200
2024-11-09T00:04:38Z,0,255.8,61000.0,63000.0,27435.05,26400
2024-11-09T00:04:43Z,0,467.4,61000.0,63000.0,27449.12,26900
2024-11-09T00:04:48Z,0,392.4,62000.0,67000.0,28123.08,27400
2024-11-09T00:04:54Z,0,313.5,65000.0,67000.0,28631.57,27700
2024-11-09T00:04:59Z,0,364.9,65000.0,70000.0,28746.13,28200
2024-11-09T00:05:07Z,0,414.1,67000.0,70000.0,29482.37,28700
2024-11-09T00:05:12Z,0,342.2,67000.0,69000.0,30042.0,29200
2024-11-09T00:05:17Z,0,324.8,68000.0,72000.0,30537.41,29700
2024-11-09T00:05:22Z,0,393.0,69000.0,72000.0,31173.68,29900
2024-11-09T00:05:23Z,0,393.0,69000.0,70000.0,31448.36,30200
2024-11-09T00:05:27Z,0,393.0,69000.0,70000.0,31448.36,30400
2024-11-09T00:05:32Z,0,322.8,71000.0,74000.0,32029.9,30900
2024-11-09T00:05:37Z,0,385.0,71000.0,74000.0,32372.93,31200
2024-11-09T00:05:42Z,0,385.0,72000.0,72000.0,32742.4,31700
2024-11-09T00:05:47Z,0,257.0,72000.0,78000.0,33139.08,32200
2024-11-09T00:05:55Z,0,418.0,75000.0,78000.0,33769.34,32600
2024-11-09T00:06:00Z,0,498.3,76000.0,77000.0,34129.89,33100
2024-11-09T00:06:05Z,0,325.6,80000.0,83000.0,34628.68,33600
2024-11-09T00:06:13Z,0,449.9,79000.0,83000.0,35193.43,34100
2024-11-09T00:06:18Z,0,371.8,80000.0,81000.0,35526.54,34600
2024-11-09T00:06:23Z,0,289.0,85000.0,87000.0,36025.32,35100
2024-11-09T00:06:32Z,0,409.8,82000.0,85000.0,36823.53,35600
2024-11-09T00:06:37Z,0,437.0,85000.0,86000.0,36999.65,36100
2024-11-09T00:06:42Z,0,209.9,86000.0,92000.0,37441.94,36600
2024-11-09T00:06:46Z,0,271.8,90000.0,92000.0,38169.52,37000
2024-11-09T00:06:47Z,0,343.8,90000.0,92000.0,38293.56,37100
2024-11-09T00:06:48Z,0,393.5,90000.0,92000.0,38327.49,37200
